job_title,company_name,company_location,work_method,post_date,work_time
Principal Environmental and Sustainability Consultant - Water Sector,Mott MacDonald,"Reading, England, United Kingdom",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Sustainability Consultant (Sustainable Buildings) – UK Wide,WSP in the UK,"Birmingham, England, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Energy Policy Opportunities,Energy Systems Catapult,"Birmingham, England, United Kingdom",Hybrid,2 days ago,"£32,000/yr - £60,000/yr · Full-time · Mid-Senior level"
"Estimator, Energy Global Business Unit",Bechtel Corporation,"London, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Energy Analyst,National Grid,"London, England, United Kingdom",Hybrid,3 days ago,"£48,000/yr - £60,000/yr · Full-time · Mid-Senior level"
Graduate Energy Consultant (start Fall 2023),Sirio,"London, England, United Kingdom",Hybrid,4 days ago,"£30,000/yr · Full-time"
Senior Manager - Energy Data Solutions,NTT DATA UK&I,"London, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Analyst Consultant - Energy & Carbon Management,Ricardo plc,"England, United Kingdom",Hybrid,3 weeks ago,Full-time · Entry level
Energy Consultant,Mott MacDonald,"South Croydon, England, United Kingdom",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Energy Manager,Balfour Beatty plc,"Derby, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Research and Engagement Manager,Lantra,"Kenilworth, England, United Kingdom",Hybrid,2 days ago,Full-time · Mid-Senior level
Strategy Analyst,Lightsource bp,"London, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Management Consultant - Energy & Utilities - Energy Transition (London/Manchester/Glasgow),Capgemini Invent,"London, England, United Kingdom",Hybrid,3 days ago,Full-time · Mid-Senior level
Energy Hedging /Trading Analyst- Leeds,ENGIE UK,"West Yorkshire, England, United Kingdom",Hybrid,1 month ago,Full-time · Mid-Senior level
Energy Transition Analyst,Hays,"Belfast, Northern Ireland, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Hydrogen Market Analyst,LexisNexis Risk Solutions Group,"London, England, United Kingdom",Hybrid,9 hours ago,Full-time · Mid-Senior level
"Strategy& Consultant – Energy, Utilities, Resources - Manager",PwC UK,"London, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
"Strategy& Consultant – Energy, Utilities, Resources - Manager",PwC UK,"Birmingham, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Associate - Projects & Construction (Energy & Sustainability),Trowers & Hamlins,"London, England, United Kingdom",Hybrid,3 days ago,Full-time · Entry level
Energy Bureau Lead,BAE Systems,"Portsmouth, England, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Management Consultant - Energy & Utilities - Programme Management & Project Controls,Capgemini Invent,"London, England, United Kingdom",Hybrid,3 days ago,Full-time · Mid-Senior level
Macro Analyst-Global Energy Perspectives,Baringa,"London Area, United Kingdom",Hybrid,3 days ago,Full-time · Mid-Senior level
Energy Insight Lead - ESO,National Grid ESO,"Warwick, England, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
Management Consultant - Energy & Utilities - Water (London/Manchester/Glasgow),Capgemini Invent,"London, England, United Kingdom",Hybrid,3 days ago,Full-time · Mid-Senior level
Sustainability and Energy Analyst - Nordic Speaking,Longevity Partners,"London, England, United Kingdom",Hybrid,5 days ago,Full-time · Entry level
UK Energy Manager,Airbus,"Greater Bristol Area, United Kingdom",Hybrid,1 day ago,Full-time · Mid-Senior level
"Strategy& Consultant – Energy, Utilities, Resources - Manager",PwC UK,"Manchester, England, United Kingdom",Hybrid,2 days ago,Full-time · Mid-Senior level
Electricity Demand Forecasting Analyst- Leeds,ENGIE UK,"West Yorkshire, England, United Kingdom",Hybrid,1 week ago,Full-time · Mid-Senior level
Energy Consultant,Mott MacDonald,"Hinckley, England, United Kingdom",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Energy Industry Analyst,Jobs via eFinancialCareers,"London, England, United Kingdom",Hybrid,1 month ago,Full-time · Mid-Senior level
Management Consultant - Energy & Utilities - Equipment & Asset Management Advisory,Capgemini Invent,"London, England, United Kingdom",Hybrid,3 days ago,Full-time · Mid-Senior level
Environment and Energy Assistant Project Manager,Suffolk County Council,"Ipswich, England, United Kingdom",Hybrid,4 days ago,Full-time · Mid-Senior level
