job_title,company_name,company_location,work_method,job_desc,machine_learning,coding,excel,salary_range
Solar Consultant,Everoze,"Bristol, England, United Kingdom",Hybrid,"About the job
Everoze is different, we are employee owned. We’re more than just a technical and commercial consultancy, specialising in renewables, storage, green hydrogen and wider energy flexibility. We live our values. We’re passionate about accelerating the transition to a decarbonised energy system. We have no bosses or formal hierarchy. We are free to pursue opportunities that deliver our strategy. We take ownership of our own development and support one another along the way. Our pay is transparent and set by our peers. We, the employees, own the company and we share profits equally.

We’re OK with being different. Everoze isn’t for everyone. But it might just be for you…

We’re excited to be hiring a Senior or Principal German-speaking solar consultant.

Package: A competitive basic salary related to your experience, plus pension, annual profit share and route into company ownership.
Deadline for applications: 5th February 2023.
Location: Preference for any of our offices (Bristol, Glasgow, Madrid, Lyon or Paris). Remote working possible.
Hours: Normal office hours with a healthy level of flexibility. Preference for 5 days per week but will consider candidates who would prefer part-time with a minimum of 3 days per week.

How will you make an impact?
You will be advising developers, owners, investors and lenders on solar / energy storage projects of all scales, through technical and commercial consultancy services. We mainly work in the UK, France Spain, Portugal and Italy. Due to the increasing demand in Germany for bespoke technical services we are looking for a German-speaker to serve this market– with the opportunity to work in different technologies and further afield depending on language ability. The aim is to continue to focus on bespoke consulting services together with our current German speaking team which is primarily based outside of Germany. You would be conducting site visits in Germany on behalf of the Team.

Specific activities will include:
Due diligence. Examining multiple aspects of projects covering the technology, design, project agreements, contracts, financial model etc. The purpose of your review will be to check that the projects are coherent and to identify techno-commercial risks. Your review work feeds into the acquisition and financing of projects, portfolios or companies and you will be in direct communication with the project developer and the financial institutions involved;
Project support. Supporting project developers in the process of specifying and procuring equipment, construction and operational monitoring, reviewing detailed designs, contract review and drafting support for typical renewable energy sector construction and operation contracts from a techno-commercial perspective;
Site visits. Visiting sites to witness on-site testing, check the quality of builds and liaise with the owner, operator and contractors to follow progress and identify design or construction issues;
Strategic. Advising clients on the risks and opportunities of entry into energy markets across Europe;
Winning work. Building client relationships and expanding our business;
Taking the lead. On the above types of projects, taking on a Project Manager or Project Director role on large and complex projects;
Entrepreneurship. Identifying and pursuing strategic opportunities to expand Everoze’s services; and
Ownership of budget and profitability of projects.

We offer
We are owned by the employees and offer a route into ownership for all new staff;
Real impact: We work with some of the biggest brands in the energy sector. We are regularly asked to share our thought leadership at the sector’s top conferences. You could be at the heart of this: conducting analysis which informs major investment and policy decisions;
Exposure: We work with clients ranging from multinational banks to international investors to community energy groups. You will be exposed to the wide range of projects financed and developed by these clients and you’ll work closely with them to address new challenges and opportunities at each turn;
A fast-growth environment: We set up shop with 6 partners in September 2015. Now we’re 75 strong and counting, based across the UK, France, Spain, Italy, Ireland, and Germany;
The flattest of flat organisations: Let’s be upfront: if you thrive on hierarchy and structure, Everoze isn’t the company for you. But if you are looking for a work environment where the strength of your ideas are valued as much as your years of experience, then welcome home. You’ll be given the freedom and autonomy to shape your own career; it’s not for everyone, and with freedom comes responsibility – but we sure enjoy the buzz of owning our own careers;
The team works: Goodbye departmental silos! We get our offshore wind experts working on energy storage, our UK team working on French projects, our onshore wind specialists branching into solar. It keeps things fresh for us and more importantly, spurs the creative cross-fertilisation of ideas which helps us deliver unique insights and value to our clients;
Top-notch mentorship: Most of us at Everoze have been in the renewables and energy business for well over a decade, and some of us have previously led large teams and business units. We’d love to share some of this experience, through assigning you an internal mentor to help guide your professional development. And we hope that you can return the favour by offering feedback for us too, because whether you’ve got 3 months experience, or 30 years, we’ve all got more to learn;
No utilisation targets: yes that’s right! we don’t report on, or check staff utilisation to assess team or individual performance. We operate on trust within the team. We find that happy and motivated staff are able to find the right balance between commercial work, business development and administration;
Flexibility: we offer flexible work hours, part-time and remote working for those who want it;
Fostering entrepreneurship: If you have a good idea for a new business area, we empower you to follow it. OK, lots of companies say that, right? Well, many of our staff are actively involved in new ventures which have led to creating new companies or lines of work. We’re serious about this and we have systems for selecting new opportunities and a budget for investing in them.

We would like to hear from you if you meet the following requirements:
We are looking for someone who is motivated to take the next step in their renewables consulting career by building on their experience and network to be a highly recognised solar/storage consultant with a reputation for delivering high quality work, meeting client expectations and a strong techno/commercial understanding of projects.

Ethos
You are already, or you are motivated to become, recognised as a senior solar consultant (ideally with some storage expertise) with a reputation for delivering high quality work, adding value to clients and possessing a solid understanding of complex technical and commercial interactions on projects;
You share our core beliefs of entrepreneurship, partnership and quality;
You are excited to work in an open, non-hierarchical environment;
You are self-motivated and will take advantage of the autonomy to shape your own career;
You want to use your skills to change our energy system for the better.
You are comfortable being either a project manager or a team member;

Essential skills and qualifications
Previous experience in managing solar and/or storage (as a consultant or in development/construction companies or other relevant segments);
MEng Engineering degree, or similar relevant degree;
More than 3 years of technical experience in the energy sector or other relevant experience, ideally with some degree of consultancy understanding;
Professional spoken and written level in English and German.

Nice-to-haves, any of the following
Good knowledge of the technical due diligence process and competence for individual subject tasks, for example:
Capable of determining the commercial implications of technical risks for different transactions.
Capable of reviewing of typical renewable energy sector construction and operation contracts;
Proficiency in Excel and PVSyst;
Experience in energy storage, flexibility or other renewable technologies;
Experience in owners engineering, construction monitoring or asset management.

How to apply
Everoze embraces diversity and equal opportunity. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. For this reason we are only accepting applications for this position made through the BeApplied platform which is designed to avoid any unconscious bias. You will be asked to answer 5 short questions designed to give you the opportunity to demonstrate the core skills we are looking for. These will be reviewed anonymously, before reviewing your CV, your details or even your name, and the highest scoring applicants will be invited for interview.",0,0,1,[]
Site Manager - Ignite Energy,Inspired PLC,United Kingdom,Remote,"About the job
Ignite Energy are part of the Inspired PLC family. We implement energy efficiency and management projects for large businesses in hundreds of client sites in a typical year, using a combination of employed and sub-contracted workforce. Typically, several high value projects run in parallel with fast turnover and regular milestones. Customized delivery and unrivalled service and support tailored to each business is crucial to our business model.

We are looking for a Site Manager to join our successful Ignite team. This is a Site Based role.

This role is to ensure that Ignites responsibilities as Principal Contractor are being met on site. The role will involve travel to sites regionally, and at times nationwide to support and monitor works carried out in the field, and which will involve overnight working.
The Site Manager is responsible for coordination of sub-contractors and assessing and managing issues on site as they arise. The role reports to the Project Manager whilst on site and is line managed by the Head of Health & Safety, and you will also liaise with clients on site directly.
Effective communication is key, and training will be provided for Microsoft Dynamics, iAuditor and Microsoft Teams as appropriate, as well as on-site shadowing of extant project site management.

The successful candidate will be responsible for:
the safe running of on-site installations and management of contractors in accordance with Ignites procedures, client specifications and industry standards safely, on time and to budget.
Sub-contractor co-ordination.
Client liaison.
Assessing and dealing with any day-to-day site issues as they arise.
Regular updates and communication with the Project Manager.
Full CDM2015 management including inductions, PPE, permits to work, tool box talks and any other relevant actions.

Candidate Experience:
Ideally candidates for this role should have 5 years’ experience as a Site Manager (Site Supervisors looking to progress welcome to apply) within an electrical or M&E contracting environment.
Ideally you should have experience in retail fit-out.
Highly motivated and pro-active.
Strong attention to detail.

Qualifications and Education Requirements:
You should have a current CITB SMSTS qualification.
CITB CSCS Card
You should hold a current First Aid at Work certificate (3 day)
A full category B UK drivers’ licence

Additional Information:
Prospective candidates will also be expected to demonstrate a methodical and responsible approach to their duties, and the ability to engage productively with all levels of management.
Candidates will go through a thorough on-boarding process through which they will receive approval as an Ignite Energy approved Site Manager.


If you are interested in the role and would like to be considered, please apply now and a member of our In House Recruitment Team will be in touch. Good Luck!",0,0,0,[]
Principal Urban Energy Consultant - (Engineering),Arup,"London, England, United Kingdom",Hybrid,"About the job
Why Arup?

Why Arup? Are you passionate about building a more sustainable future? At Arup we work to find solutions for some of the world’s most complex problems – providing expertise across all areas of the built environment from strategic approach and planning to design and engineering.

Join us and you will have the freedom to push boundaries, develop new skills and work on some of the world’s most inspiring projects. We believe that by giving our people the freedom to be creative, we will produce work that continuously redefines quality across our firm. Whatever the role or specialism, our people are passionate about what they do, they believe in our values and are happy to come to work every day. And this is why people choose to work here and stay.

‘Watch this short clip to discover how Arup are shaping a better world and how you could be a part of it!’

The Opportunity

We are seeking a motivated and committed Principal Urban Energy Consultant to bring technical engineering expertise and strategic thinking to address the challenges of decarbonising energy systems and developing low carbon and climate resilient urban energy infrastructure. You will play a key role in a growing team working with a range of public and private sector clients who are leading climate action in cities.

You will work on a variety of projects, including development of heat networks, microgrids and other smart local energy systems from masterplanning through feasiblity to scheme design; commercialisation and delivery of urban energy projects and programmes; preparation of action plans, investment strategies and business cases; and conducting research, analysis and stakeholder engagement to support policy development and client strategic decision making.

You will also play an important role in Arup, acting as a line manager and mentor to junior staff and promoting excellence and skills in your area of expertise across the wider Arup community.

In the role you will develop project and client management capabilities with the support of experienced colleagues and have the opportunity for developing new skills and career advancement to leadership positions.

Is this role right for you?

Bachelor’s or Master’s university degree in engineering or physics. Other relevant qualifications or equivalent experience will be considered where low carbon energy infrastructure systems or buildings were a prominent feature of the course or experience.
Experience in low carbon energy advisory or project delivery in a design or management role, which may include energy engineering (infrastructure or buildings); energy system modelling and masterplanning; project economic and financial analysis; and energy-related policy development.
Experience of data analysis (quantitative/qualitative) and modelling
Experience with preparing clear and succinct reports and presentations for both technical and non-technical audiences
Personal commitment to climate action and sustainable development
Interested in applying? Submit your cv and we will be in touch.

Not ready to apply just yet, or have some questions? Email Anna.Lipka@arup.com to schedule an introductory call.

If this role is not quite what you are looking for but you are interested in other opportunities, please sign up to our Talent Community where you will be kept up to date with roles suitable for you.'

Rewards And Benefits

We care about you and want you to perform at your best, which is why we offer one of the most competitive benefits packages in our sector.

As a member organisation, everyone shares in our success through a global profit share scheme (payments are dependent on the firm’s financial performance).

We also provide Private medical insurance, Life assurance, Accident insurance and Income protection cover. In addition, you’ll have access to flexible benefits to help you look after all aspects of your wellbeing and give you the freedom and flexibility to find the best solutions for you, your family, and your individual needs.

Different people, shared values.

At Arup, we believe when talented people collaborate, great things are possible. Arup hires people with proven skills and open minds. We are taking deliberate action to create an inclusive culture that is grounded in our purpose to shape a better world.

At Arup, we welcome candidates from all backgrounds, regardless of age, disability, gender, gender identity, gender expression, race, religion or belief, sexual orientation, socioeconomic background, and any other protected characteristic. Our internal employee networks - BAME, Culture, Disability, LGBTQ+ and Women - provide a space for you to express your views and to make a positive difference - discover more about life at Arup here .

At Arup, we are committed to making all stages of our recruitment process accessible to candidates with disabilities. Please speak to our recruitment team and we will work with you to make reasonable adjustments to ensure you can perform at your best throughout your application.

At Arup, we appreciate that everyone’s circumstances are different and having the freedom to flex the way we work is essential to our wellbeing. If flexibility matters to you let us know when you apply, and we will discuss how this could work in your role.

Our Application Process

To understand what to expect next, please visit our UK Application Process page.

Stay safe online - Arup will never ask for payment or your bank details as part of our recruitment process.

REF:EN",0,0,1,[]
Senior Energy and Carbon Consultant,Expedition Engineering Ltd,"London, England, United Kingdom",Hybrid,"About the job
What makes us different
The Useful Simple Trust (UST) is a highly renowned group of professional design and consultancy practices, driving change through our four brands: Expedition Engineering, Useful Projects, Useful Studio and Thomas Matthews.

The company has 80+ talented and committed civil and structural engineers, architects, construction innovation consultants, strategists, designers and sustainability experts who work side-by-side creating positive outcomes for our changing environment following our key company values: Work for Good, More with Less, Restore and Adapt and Get, Set, Zero. As a Social Enterprise, B-Corp™ and Employee Benefit Organisation, we do things differently. Our people are highly motivated and committed, in part because our structure and values mean that our combined success is shared equitably. We share part of our profit and re-invest the rest in research, social and environmental projects. We deliver purposeful projects that we believe have a sustainable impact on our clients and the wider human environment. We are particularly focused on the sector’s biggest challenges around productivity, resource efficiency and the climate emergency / net zero.

Expedition Engineering is an award-winning engineering consultancy and has a rapidly growing pipeline of work offering innovation consulting in the infrastructure and construction sector – with a client list including HS2, Network Rail, National Highways, Environment Agency, UK water companies, several major contractors and Innovate UK - and we are looking to expand our team. We work as an innovation partner to our clients, advising on efficiency and process improvements, solving challenges with novel designs, partnering with supply chains to deliver innovations at scale, and guiding the efficient delivery of innovations in practice.
We use a range of idea generation and project delivery techniques, recognising the importance of neurodiversity in both creating and evaluating ideas. Our in-house team includes experts with backgrounds in sustainability, structural and civil engineering, environmental engineering, construction, process improvement, Lean, digital technology and practical innovation delivery. We also work collaboratively with a network of academics and practitioners to augment our skill set.
Our key workstreams in innovation include:
• Delivering a transformative low carbon programme with a major infrastructure client. Roll out of common elements of design.
• Accelerating industrialised bridge construction, as exemplified through our innovative AVA pedestrian bridge.
• Delivering a game changing productivity strategy for a major programme of capital works.
• Developing new methods of delivering and scaling innovations after pilot stage.
• Unlocking industrialised construction for a major construction programme in the energy sector.

What we are looking for
We are looking for a Senior Energy Specialist to join our team. Your role will be in supporting the development of energy infrastructure strategies for new developments and estate renewal. In addition, you will support the sustainability team in the development of sustainability strategies which encompass objectives across social, environmental and economic goals.
The successful candidate will have relevant experience in energy consulting, mechanical or electrical engineering and be chartered or working towards this. We are interested in hearing from people who have specialist expertise in designing energy infrastructure for smart cities, technical building services experience and detailed knowledge of low carbon heating solutions and renewables.
As an employee benefit trust, we offer mentoring support to accelerate learning and opportunities for advancement. We are really proud of our growth and development and this reflects in our workforce as the acceleration of development of our people gives us the best tools to provide our services to our clients.

Attributes
Professional qualifications and core knowledge
• Preferably MEng/MSc in mechanical/electrical engineering or similar (BEng/BSc a minimum requirement).
• Chartered Engineer (CEng) or working towards chartership and member of CIBSE, EI, IMechE, IET or similar.
• Core knowledge of mechanical or electrical services, energy technology/systems and design/delivery of MEP strategies across RIBA Stages.
• Proficient in energy and carbon modelling using SAP, PHPP and IES (or other dynamic simulation).
• Experience in implementing energy and building services solutions for residential-led schemes at building and site levels.
• Technical experience or knowledge of delivering wider masterplan solutions including heat networks, thermal storage and low to zero carbon technologies (including heat pumps, CHP, PV).
• An interest in developing smart cities strategies, including large scale renewable installations, communal batteries and associated electrical infrastructure.
• Experience carrying out energy audits of existing buildings and advising on energy efficiency measures.
• A wider interest in environmental and social sustainability themes, such as embodied carbon, circular economy and green infrastructure.
• Knowledge and experience in applying the latest policies and guidance relating to sustainable development.

Consultancy skills
• Experience in preparing Sustainability and Energy Statements for planning.
• Experience in undertaking feasibility studies, reviewing different options against whole life carbon and cost criteria.
• Experience of working in multi-disciplinary design teams.
• Ability to communicate clearly to clients, engineers and architects.
• Strong analytical and research skills.
• Excellent report writing skills.
•Delivery of high-quality technical advice, client reports, technical publications, presentations and training materials.
• Excellent project management, financial management, and organisational skills.
• Take a thoughtful approach to their work and embrace creative approaches to delivery.
• Experience in understanding opportunities in relation to sustainable development.
• Participate in wider industry groups to share knowledge and enhance outcomes.

What we offer
We believe in investing and growing our people as much as we do our business. We foster talent, equal opportunity, diversity, inclusion, and wellbeing to develop a high performing and sustainable workforce.
The package comprises:
• Flexible working including 9-day fortnight scheme
• Bupa Private medical insurance
• Annual Eyecare Scheme
• Workplace Health Assured & WeCare 24/7 EAP access
• Life Assurance
• Company pension scheme
• Cycle to work scheme",0,0,1,[]
Energy Analyst,National Grid,"London, England, United Kingdom",Hybrid,"About the job
The energy system continues to change rapidly and fundamentally on the path to Net Zero by 2050. National Grid are at the very heart of these changes, which pose strategic questions for us as a business, and for the wider Energy sector. Group Strategy leads on answering high-level strategic questions for National Grid and working with external stakeholders to collectively answer the broader questions for the whole industry.


As Energy Analyst you’ll be part of a hugely talented, friendly & supportive team that navigate future pathways for the strategy function by quantifying risks and opportunities for National Grid.


We combine the latest market intelligence, deep energy market domain expertise and sophisticated modelling tools to provide insights that matter right across the business. We provide a trusted view on energy markets outlook and share insights that help the business to make informed commercial and strategic decisions.


This role has a global footprint as we decarbonise the energy system - investing £billions into developing critical infrastructure and clean energy, with huge project pipelines such as offshore wind farms in the US, and many interconnectors with the EU. We can offer huge potential for personal growth and development, as well as ongoing training and career progression.


Key Accountabilities:


As Energy Analyst you will be part of a close-knit team of 14 experts who:

Analyse market, historical, and fundamental data to draw inferences and present results in a clear and understandable format to management and key stakeholders

Develop data dashboards and employ sophisticated analytics, machine learning, and/or statistical methods to bring data to life

Modelling of the European power markets to support key commercial projects for NGV and other NG businesses covering mainly UK projects, investment decisions, business planning, strategic planning, and new business opportunities

Support Group Strategy, M&A, Business Development, Corporate Affairs, Commercial Operations with ad hoc market analysis, modelling and assessments of market impacts

Develop and improve Market Fundamentals in-house market models, ensuring they are fit for purpose. Articulate and explain market model inputs/outputs to internal and external stakeholders

Develop structured, documented, version-controlled tools that improve the efficiency and value of the team for the business.

Contribute to the development and maintenance of European Power Market Scenarios by providing the modelling tools and insightful analysis on supply-demand balance

Use your analytical and technical skills to become a thought-leader on modelling the big questions and challenges facing the energy industry.


About You:

Experience developing & employing market models. Previous experience with commercial production cost modelling software, such as: PLEXOS, Aurora, BID3, etc. is a huge advantage.

Fluency in Excel modelling, Python, Machine learning tools and techniques, VBA/ or other programming skills.

Familiarity with Power BI or other data visualization / dashboard development packages.

Knowledge of GB and EU electricity industry structures and interest in power/ gas market developments and recent trends.

Ability to translate model outputs into business insight and articulate impact on investment cases.


What We Can Offer You:


Up to £60,000 salary, dependant on experience

Plus:

Annual Performance Bonus (10%)
28 days annual leave, plus 8 statutory days.
The option to buy additional or sell holiday days annually.
Generous contributory pension scheme - we double-match your contribution to a maximum company contribution of 12%. Overall 18%. (For every £1 you put in, we put in £2).
Life Assurance at 10x your base salary.
Financial support to help cover the cost of professional membership subscriptions, course fees, books, exam fees and time off for study leave – relevant to your role.
Access to benefits such as a share incentive plan, salary sacrifice car and technology schemes, support via employee assistance lines and matched charity giving to name a few.
Family care benefits including a back-up care service for when your usual care arrangements fall through (six paid days each year as standard with the option to purchase further days).
Access to apps which support health, fitness and wellbeing.


This role offers flexible hybrid working, working between both our offices at The Strand, London (1-3 days pw) and the rest from home. We can also offer some flexibility in hours if required – our standard working week is 37 hours.


We can offer UK sponsorship (Tier 2 skilled worker visa) for the right person – if you have Plexos experience in power or gas markets, or market fundamentals, with Excel modelling and Python, we want to hear from you!


Further Information:

Advert Close: 8/2/23

Interviews: w/c 13th or 20th February 2023 onwards

For more information please reach out to our Talent Acquisition Partner directly: Philippa.templeton@nationalgrid.com https://www.linkedin.com/in/ptempleton/

At National Grid, we work towards the highest standards in everything we do, including how we support, value and develop our people. Our aim is to encourage and support employees to thrive and be the best they can be. We celebrate the difference people can bring into our organisation, and welcome and encourage applicants with diverse experiences and backgrounds, and offer flexible and tailored support, at home and in the office.",1,0,1,"[48000, 60000]"
Graduate Energy Consultant (start Fall 2023),Sirio,"London, England, United Kingdom",Hybrid,"About the job
Introduction
Sirio, a boutique consulting firm, is looking for a driven and resourceful energy consultant to join its rapidly growing team. The consultant will work alongside members of the team to support high-profile clients in the energy, utilities and public sectors. The consultant will also play a key role in the growth of Sirio, from developing internal processes, producing intellectual property and supporting business development activities.

This position offers a unique opportunity for an entrepreneurial individual to grow alongside the company and enjoy opportunities and responsibility early on.

The successful applicant will work remotely as a norm – limited travel to a central London location or to the clients’ premises in various locations across the UK will be required on occasion.

The consultant will enjoy a close-knit and friendly environment, a growth-focused and supportive culture, a healthy work-life balance and flexibility in working locations.

The salary for this position is £30,000. In addition to the salary, the consultant will enjoy a performance-based bonus/stock option plan and generous benefits (pension, health care).

Find out more about working at Sirio on https://sirio-strategies.com/careers

Company Description
Sirio is a specialist consulting firm operating at the intersection of consumers, regulation and utilities. We advise utility and infrastructure companies in developing customer-centred business strategies, investment plans and analytical tools. Our mission is to bring about an effective and just transition to a Net Zero emission world, making it work for both investors and society as a whole. We specialise in:
Stakeholder-driven decision making (business strategy and implementation).
Consumer vulnerability (operational strategy and implementation).
Economic evaluation and social value measurement (cost-benefit analyses and investment planning).
Please find out more about our ethos and work on https://sirio-strategies.com/

Job Description
As an analyst, you will:
Deliver project work under guidance from experienced team members. This will include online research, data analysis, project planning, and preparation of client deliverables such as Word documents and PowerPoint presentations. Exposure and collaboration with clients will occur.
Undergo training sessions with experienced consultants and make use of self-training resources, made available on an ad-hoc basis to develop your skills and capabilities.
Contribute to the commercial activity of the firm: for example, supporting business proposals and other client material development, performing market research to support proposal development.
Contribute to the development of intellectual property by supporting the publication of articles.

Additional Information
Apply by following the instructions on our careers page ('Availabilities' section): https://sirio-strategies.com/careers/#availabilities
You will be asked to upload your CV and Cover Letter to the platform. The Cover Letter is not mandatory, but would add strength to your application. You will need to answer the following two questions in 500 words or less:
Why do you want to join Sirio?
Why do you believe you would be a good fit?

Application deadline 24/02/2023.
Interviews throughout March on a rolling basis.
Start date of August - October 2023, following degree completion.
Technology and work-from-home equipment will be provided by the firm.",0,0,0,[30000]
Energy Manager,WestRock Company,United Kingdom,Remote,"About the job
The opportunity: in this role, you will provide a single point of accountability for sourcing performance in relation to energy and requires a high degree of product and market focus. This means an ability to drive improvement through demand and specification-based initiatives as well as through the more traditional purchasing-based activity using external partners where appropriate.

How you will impact WestRock:
Develop & implement robust and effective Category based sourcing strategies
A thorough analysis of current supply, and future potential supply possibilities
Engagement of key stakeholders across the businesses, and development of strategies through an inclusive, team approach - Achievement of stakeholder buy-in to changes
Implementation of strategy through a planned and structured project management-based approach
Implementation of global energy projects
Central consultancy contracts for regions to ensure future compliance
Improve Europe’s sustainability projects, leading centrally

What you need to succeed:
Experience working across European within a commercial/purchasing role(s)
Strong interpersonal, analytical, influencing and negotiating skills.
Proficient in Microsoft Office Suite Programs
Results focused with sound commercial and financial awareness
Presentation/communication skills
Ability to prioritise workload and manage multiple projects across multiple location

What we offer:
Corporate culture based on integrity, respect, accountability and excellence
Comprehensive training with numerous learning and development opportunities
A career with a global packaging company where sustainability, safety and inclusion are business drivers and foundational elements of the daily work

WestRock is an Equal Opportunity Employer. We strive to create and maintain a diverse workforce where everyone feels valued, respected, and included. WestRock does not discriminate on the basis of race, color, religion, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other basis protected by federal, state or local law",0,0,1,[]
Natural Gas Analyst,Jane Street,"London, England, United Kingdom",Hybrid,"About the job
About the Position
We're looking for an experienced Natural Gas Analyst to help our team research new strategies that incorporate fundamental views into our European natural gas trading. Our team has an open mandate to think about the existing successful trading that we do, and find new ways to marry fundamental analytics with Jane Street’s core quantitative trading strategy.

The right person will have a strong fundamental background in natural gas and enjoy working in a fast-paced and collaborative environment.

About You
2+ years of professional experience in analyzing European natural gas fundamentals
Strong analytical capabilities
Knowledge of oil or gas physical/financial markets
Proficiency in statistics
Coding skills are a plus
Fluency in English required",0,1,0,[]
Energy Market Analyst / Modeller (Plexos),Turner Lovell,United Kingdom,Remote,"About the job
Energy Market Analyst
Location: Remote working. From anywhere in Europe.
Offshore Grid / Wind / Renewable Energy
Salary: Very competitive with bonus
Modelling, Plexos, Electricity Markets

Turner Lovell are recruiting for an Energy Market Analyst with experience of electricity transmission modelling to join an ambitious offshore wind & grid developer. Our client, currently in the entrepreneurial start-up phase of their growth, is a subsidiary of one of the largest European utility companies. They have ambitions to develop, build, connect and maintain offshore wind, HVDC and offshore grid infrastructure in Europe, Middle East and the USA. With major project investments planned, this is an exciting time to join the company to help execute the overall strategy.

As Energy Market Analyst, you will support the senior management team to develop market models that support investment decisions for renewable energy and grid infrastructure projects. You will develop the market modelling capabilities for the company, and build combined market & network simulations and power price forecasting to support business development opportunities.

The ideal candidate will be an expert modeller in Plexos, understand the European utilities and electricity interconnector market and have prior experience with investment decision analysis, asset valuation and risk assessments for grid / interconnector projects.

The role:
Provide economic and commercial analysis of targeted energy markets and grid investment opportunities.
Support data-driven greenfield project origination across Europe with simulations and modelling of scenarios using Plexos.
Develop and evaluate market opportunities in the project pipeline buildings new or adapting models.
Optimize the business case of future Multi-Purpose-Interconnectors and other offshore transmission, wind and HVDC projects
Facilitate Investment evaluations through Cost-Benefit-Analysis and competitive market analysis.
Conduct commercial and regulatory due diligence with internal and external partners.

Requirements:
Master's degree or PhD with major in Electrical Engineering, Economics, Business Administration or Business Engineering with a specialization in energy
You have 3+ years of relevant professional work experience on the design and analysis of electricity energy markets.
Experience and willingness to be hands on with market modelling as well as the use of market simulation programs.
Able to provide commercial and analytical insights from data.
Expert user in Plexos is essential.
Experience in the development and preparation of energy scenarios,
Programming skills in Python, Matlab or R,
Strong quantitative and qualitative analytical skills and project management experience
Excellent communication skills and a proactive, solution-oriented mindset, and the initiative to pursue new business opportunities
Fluency in English.

This is an exciting role that will allow you to be at the forefront of offshore renewable energy projects across Europe and the USA from the perspective of the developer. You will work for a dynamic leader, have a clear and fast career development path and international travel opportunities.

If this sounds like your next role and challenge, please apply and we will follow up quickly to discuss your experience.",0,0,1,[]
Energy Consultant,JSM Associates,"London, England, United Kingdom",Hybrid,"About the job
Senior Energy Consultant/Energy Manager

Exciting opportunity for an experienced Building Service Engineer/Energy Manager to join this award-winning, Boutique Sustainability Consultancy with exciting plans for further growth. Greengage are seeking an experienced Senior Energy Consultant/Energy Manager to join their growing Net Zero Carbon business.

Greengage work with range of prestigious clients across various real estate types, helping make significant improvement on energy management and efficiency.

The person joining will have the significant advantage of working at the forefront of radical change within the industry. It is an exciting opportunity that would suit someone wanting to really make a difference in the sector.

Greengage pride themselves on their passion and vision to genuinely help organisations achieve meaningful impacts on their journey towards Net Zero and Climate Change adaptation. Their highly focused approach and cutting-edge methodologies have resulted in an enviable portfolio of high profile and loyal clients.

You will be joining a very diverse, sociable and fun organisation. They operate a flat structure so there is significant scope for growth and career progression. It's not like the larger organisations with many people clambering for the same promotion, you can genuinely develop your career at a pace to suit you. Their great culture also includes significant flexible working.

Location

London – Flexible working arrangements available, with a minimum 2 days a week in London

The Role

We are looking for an individual with an understanding of energy in buildings to join the growing Net Zero Carbon business within Greengage The role will involve the following:

· Project managing the delivery of energy audits across large portfolios including a mix of commercial and residential buildings
· Making recommendations regarding key measures to upgrade the building fabric and services
· Recommending building operational energy efficiency and performance improvements
· Developing Net Zero Strategies for properties and setting out their net zero transition plan
· Carrying out Carbon Baselining and Setting Targets at a Fund/portfolio/ property level
· Supporting the delivery of on-site energy reductions within buildings

The role would suit those with energy management experience and/or those with experience of developing energy reduction strategies for existing buildings. The ideal candidate will have 3-5 years of relevant industry experience, who is looking for the next step in their career and should be able to demonstrate the following core skills:

· Good understanding of building fabric, HVAC and energy systems and where typical savings can be made
· Good understanding of the cost of implementing various upgrade measures
· Good understanding of building energy consumption, profiles and opportunities for savings
· Exposure to energy reduction and management strategies
· Passionate about sustainability and playing a positive role in tackling the impacts of climate change
· Strong Project Management Skills
· Strong Excel, data calculation and analysis skills

Rewards & Benefits

Greengage’s organisation has a fantastic culture, creating a loyal and passionate team of industry specialists, making a real difference to the climate crisis rather than driven by pure profit.

The company culture ensures a healthy work life balance for staff, alongside actively supporting you to become an industry expert and thought leader. You will be actively encouraged to partake and host regular industry events and attend ongoing training raising yours and the profile of the business.

On offer is a highly competitive salary and benefits package along with realistic/significant performance related bonus.

About Greengage

Now in their 16th year, Greengage has a team of over 40 full time staff. The business has enjoyed continued success with significant year-on-year growth. It has developed an enviable reputation with a range of prestigious clients across various sectors. Greengage provide staff with a vibrant and dynamic working environment, including significant training and career progression, alongside flexible working arrangements.

Even if you are cautiously looking, I would highly recommend a discreet conversation to find out more about the firm and the role.",0,0,1,"[40000, 50000]"
